Proposal_ID,Sampling_Set,Core_Section,Sample_Name,Bulk_density_g_per_cm3,flag_Bulk_density,Beta_Glucosidase_ug_pNP_per_g_per_h,flag_Beta_Glucosidase,GWC_percent,flag_GWC,HClExtOM_TOC_mg_per_kg,flag_HClExtOM_TOC,HClExtOM_TN_mg_per_kg,flag_HClExtOM_TN,Ca_meq_per_100g,Mg_meq_per_100g,Na_meq_per_100g,K_meq_per_100g,SO4_S_mg_per_kg,B_mg_per_kg,Zn_mg_per_kg,Mn_mg_per_kg,Cu_mg_per_kg,Fe_mg_per_kg,flag_Ca,flag_Mg,flag_Na,flag_K,flag_SO4S,flag_B,flag_Zn,flag_Mn,flag_Cu,flag_Fe,MBC_mg_per_kg,flag_MBC,MBN_mg_per_kg,flag_MBN,NO3_N_mg_per_kg,flag_NO3N,NH4_N_mg_per_kg,flag_NH4N,PO4_P_mg_per_kg,flag_P,pH,flag_pH,Sand_percent,Silt_percent,Clay_percent,flag_Texture,WEOM_TOC_mg_per_kg,flag_WEOM_TOC,WEOM_TN_mg_per_kg,flag_WEOM_TN
61086,1,TOP,61086_1_TOP,1.81,,90.5,,23.56,,1210.48,,114.31,,7.74,1.38,0.11,0.23,15,0.56,1.9,6.9,1.2,14,,,,,,,,,,,143.8,,25.88,,12.48,,3.58,,34.79,,7.19,,18.6,40.9,40.5,,75.1,,8.64,
61086,1,BTM,61086_1_BTM,1.78,,6.9,,20.3,,545.35,,51.49,,5.91,1.49,0.11,0.07,12,0.77,0.3,0.6,0.3,24,,,,,,,,,,,7.48,,0.45,,4.79,,1.49,,0.85,,7.02,,9.9,41.5,48.6,,30.5,,5.37,
61086,2,TOP,61086_2_TOP,2.02,,55.2,,23.29,,982.78,,100.64,,4.98,1.27,0.04,0.38,32,0.48,1.8,10.3,0.8,82,,,,,,,,,,,101.63,,19.47,,13.24,,3.65,,68.78,,6.6,,18.8,45.9,35.3,,41.41,,8.9,
61086,2,BTM,61086_2_BTM,1.69,,10.1,,18.64,,515.65,,40.42,,5.93,1.43,0.08,0.08,16,0.65,0.3,2.4,0.4,9,,,,,,,,,,,28.48,,3.11,,1.82,,1.12,,1.94,,7.06,,18.4,44.1,37.5,,28.67,,1.99,
61086,3,TOP,61086_3_TOP,2.06,,79.5,,23.88,,918.3,,89.14,,6.09,1.23,0.08,0.25,18,0.62,1.3,7.6,0.7,154,,,,,,,,,,,91.59,,14.99,,11.67,,2.81,,57.46,,5.98,,25.1,48.6,26.3,,26.93,,8.81,
61086,3,BTM,61086_3_BTM,1.49,,,Insufficient_material,21.37,,676.9,,50.93,,,,,,,,,,,,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,39.09,,4.06,,,Insufficient_material,,Insufficient_material,2.34,,7,,,,,Insufficient_material,16.37,,4.04,
61086,4,TOP,61086_4_TOP,1.89,,,Insufficient_material,21.78,,1280.57,,119.76,,,,,,,,,,,,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,127.95,,24.16,,,Insufficient_material,,Insufficient_material,39.26,,7.14,,,,,Insufficient_material,56.37,,6.78,
61086,4,BTM,61086_4_BTM,1.86,,,Insufficient_material,16.01,,722.48,,55.27,,,,,,,,,,,,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,43.13,,6.46,,,Insufficient_material,,Insufficient_material,9.19,,7.19,,,,,Insufficient_material,23.54,,2.63,
61086,5,TOP,61086_5_TOP,1.74,,101.1,,21.03,,1004.53,,145.08,,7.4,1.66,0.08,0.33,6,0.55,1.8,6.2,1,17,,,,,,,,,,,108.69,,26.23,,36.1,,2.55,,51.57,,6.95,,23.5,46.2,30.3,,51.15,,38.85,
61086,5,BTM,61086_5_BTM,1.67,,,Insufficient_material,13.8,,539.06,,41.71,,,,,,,,,,,,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,46.13,,5.1,,,Insufficient_material,,Insufficient_material,7.47,,7.33,,,,,Insufficient_material,37.84,,3.08,
